temperature,humidity,capacity,water flow,day,time
30,41,280,54,16/06/2020,11:12:03
30.03,40,280,58,16/06/2020,11:12:55
29.52,43,300,62,16/06/2020,11:21:02
29.93,45,280,65,16/06/2020,11:22:58
29.86,44,290,50,16/06/2020,11:24:00
30.13,42,290,53,16/06/2020,11:24:51
30.06,42,300,57,16/06/2020,11:28:58
31.29,32,280,60,16/06/2020,16:00:36
31.09,35,300,60,16/06/2020,16:05:58
31.18,34,290,57,16/06/2020,16:09:02
31.69,31,300,59,16/06/2020,16:09:09
31.39,31,300,56,16/06/2020,16:10:52
31.59,35,280,59,16/06/2020,16:17:45
31.91,35,300,60,16/06/2020,16:25:25
31.68,36,300,56,16/06/2020,16:26:07
28.75,53,290,50,16/06/2020,23:01:31
29.18,54,300,49,16/06/2020,23:02:27
29.28,50,300,52,16/06/2020,23:08:29
29.17,54,290,47,16/06/2020,23:19:39
28.89,53,300,47,16/06/2020,23:20:43
28.96,55,290,48,16/06/2020,23:21:08
29.28,53,300,48,16/06/2020,23:24:56
29.11,53,300,45,16/06/2020,23:29:08
29.58,48,270,53,17/06/2020,8:01:50
29.37,53,300,45,17/06/2020,8:04:59
29.48,51,300,48,17/06/2020,8:06:04
29.38,45,300,58,17/06/2020,8:11:53
29.41,51,270,46,17/06/2020,8:14:28
29.35,49,270,55,17/06/2020,8:15:26
29.37,50,300,65,17/06/2020,8:19:28
29.62,46,300,58,17/06/2020,8:23:16
32.53,40,300,55,17/06/2020,12:00:09
32.44,41,300,59,17/06/2020,12:03:52
32.3,42,290,62,17/06/2020,12:05:41
32.8,43,280,58,17/06/2020,12:14:10
32.89,39,290,56,17/06/2020,12:15:02
32.93,40,280,59,17/06/2020,12:22:14
32.59,41,290,50,17/06/2020,12:29:42
32.74,42,280,58,17/06/2020,12:29:42
31.54,31,280,59,17/06/2020,17:01:17
31.1,30,300,63,17/06/2020,17:02:54
31.64,32,300,59,17/06/2020,17:09:43
31.8,33,280,59,17/06/2020,17:11:18
31.29,35,300,57,17/06/2020,17:20:57
31.31,35,300,57,17/06/2020,17:25:39
31.93,31,300,56,17/06/2020,17:27:19
31.68,30,290,60,17/06/2020,17:27:30
30.91,30,290,60,17/06/2020,18:03:55
30.58,30,300,62,17/06/2020,18:07:20
30.46,30,300,64,17/06/2020,18:14:32
30.51,30,290,61,17/06/2020,18:14:59
30.77,33,290,56,17/06/2020,18:15:20
30.31,33,300,57,17/06/2020,18:16:05
30.07,32,300,58,17/06/2020,18:17:54
31,30,300,65,17/06/2020,18:18:47
28.94,56,270,49,18/06/2020,6:02:03
28.7,55,300,48,18/06/2020,6:02:20
29.16,57,300,49,18/06/2020,6:06:39
29.16,60,300,50,18/06/2020,6:13:04
28.85,56,270,50,18/06/2020,6:14:40
28.76,58,270,46,18/06/2020,6:21:57
28.83,57,300,47,18/06/2020,6:23:36
28.83,57,300,47,18/06/2020,6:28:47
32.52,39,300,57,18/06/2020,13:02:13
32.56,41,300,60,18/06/2020,13:03:34
32.45,41,290,53,18/06/2020,13:13:33
32.18,39,280,56,18/06/2020,13:21:39
32.72,39,290,56,18/06/2020,13:24:56
32.98,42,280,51,18/06/2020,13:25:27
32.94,41,290,63,18/06/2020,13:27:06
32.38,43,280,56,18/06/2020,13:29:14
32.8,38,280,56,18/06/2020,15:00:48
32.95,35,300,58,18/06/2020,15:01:18
32.45,39,300,56,18/06/2020,15:08:49
32.77,36,280,59,18/06/2020,15:09:58
32.69,35,300,56,18/06/2020,15:10:46
32.91,37,300,59,18/06/2020,15:11:29
32.37,40,300,59,18/06/2020,15:16:52
32.83,38,290,55,18/06/2020,15:21:44
30.5,36,290,59,18/06/2020,19:00:42
30.61,40,300,59,18/06/2020,19:03:10
30.55,38,300,57,18/06/2020,19:07:54
30.29,35,290,56,18/06/2020,19:10:06
30.56,40,290,60,18/06/2020,19:16:45
30.67,39,300,60,18/06/2020,19:20:37
30.83,40,300,60,18/06/2020,19:21:18
30.2,38,300,58,18/06/2020,19:29:24
30.25,30,300,55,19/06/2020,7:03:28
29.5,55,300,53,19/06/2020,7:04:04
30.9,65,280,45,19/06/2020,7:04:21
31,53,300,53,19/06/2020,7:06:47
30.2,66,280,32,19/06/2020,7:08:40
29.2,68,300,35,19/06/2020,7:11:17
29.6,54,300,52,19/06/2020,7:21:06
30,48,280,52,19/06/2020,7:28:16
32.5,40,290,55,19/06/2020,13:06:39
32.8,30,280,61,19/06/2020,13:07:16
33,28,280,62,19/06/2020,13:09:14
33.5,45,300,52,19/06/2020,13:13:13
33.25,38,280,58,19/06/2020,13:14:59
33.9,40,290,50,19/06/2020,13:16:18
33.2,35,290,58,19/06/2020,13:21:27
33.5,45,300,50,19/06/2020,13:22:50
31.5,28,280,63,19/06/2020,17:05:33
30.5,30,300,62,19/06/2020,17:10:18
31.25,45,290,53,19/06/2020,17:13:46
31,50,300,50,19/06/2020,17:18:48
31.2,45,300,58,19/06/2020,17:19:52
31.5,41,280,58,19/06/2020,17:20:23
30.8,32,300,60,19/06/2020,17:21:30
30.5,55,300,49,19/06/2020,17:22:01
29.6,45,290,53,19/06/2020,20:00:51
30,55,300,48,19/06/2020,20:01:40
30.125,50,300,50,19/06/2020,20:01:57
30.5,45,290,50,19/06/2020,20:08:30
30.2,35,300,55,19/06/2020,20:12:20
30.8,46,290,52,19/06/2020,20:14:01
30.5,42,300,54,19/06/2020,20:19:03
30,40,300,55,19/06/2020,20:24:46
28.5,66,300,25,20/06/2020,6:03:46
29,60,300,32,20/06/2020,6:05:07
29.5,55,280,50,20/06/2020,6:05:25
28,62,300,45,20/06/2020,6:08:14
29,56,280,45,20/06/2020,6:12:10
29.6,48,300,43,20/06/2020,6:12:59
30.5,54,300,55,20/06/2020,6:16:01
29.6,51,280,53,20/06/2020,6:26:49
30.5,56,290,50,20/06/2020,9:01:07
31.5,58,280,50,20/06/2020,9:06:30
31.1,53,280,48,20/06/2020,9:11:06
30.9,56,300,49,20/06/2020,9:12:42
30.9,46,280,53,20/06/2020,9:13:59
31.2,49,290,51,20/06/2020,9:18:10
31.8,55,290,60,20/06/2020,9:18:32
31.6,50,300,53,20/06/2020,9:24:55
33,30,280,58,20/06/2020,15:07:31
32,28,300,60,20/06/2020,15:09:50
32.5,40,290,58,20/06/2020,15:14:03
32.9,25,300,60,20/06/2020,15:15:50
32.6,36,300,58,20/06/2020,15:15:52
32.5,33,280,59,20/06/2020,15:18:05
33.1,35,300,57,20/06/2020,15:18:22
32.6,37,300,57,20/06/2020,15:23:03
29,50,290,49,20/06/2020,23:03:57
28.5,56,300,50,20/06/2020,23:04:56
30.5,56,300,50,20/06/2020,23:09:46
29.6,46,290,51,20/06/2020,23:14:57
29.1,52,300,48,20/06/2020,23:19:03
29.75,48,290,53,20/06/2020,23:21:31
30.5,59,300,47,20/06/2020,23:25:03
30,55,300,50,20/06/2020,23:28:37
30.5,56,300,47,21/06/2020,8:02:20
31,60,300,46,21/06/2020,8:09:58
30.9,66,280,43,21/06/2020,8:15:40
30.8,62,300,45,21/06/2020,8:17:45
29.9,50,280,49,21/06/2020,8:20:05
30.5,56,300,46,21/06/2020,8:25:17
29.5,54,300,48,21/06/2020,8:26:35
28,60,280,45,21/06/2020,8:27:15
32.85,31,290,60,21/06/2020,14:00:58
33.5,20,280,65,21/06/2020,14:02:15
33,30,280,58,21/06/2020,14:14:16
33.025,28,300,55,21/06/2020,14:15:02
33.9,38,280,56,21/06/2020,14:15:26
33.5,35,290,56,21/06/2020,14:17:45
33.6,25,290,60,21/06/2020,14:22:01
33.4,26,300,58,21/06/2020,14:29:08
31.5,25,280,56,21/06/2020,16:00:26
32.5,30,300,60,21/06/2020,16:01:15
31.125,34,290,59,21/06/2020,16:17:52
32.5,36,300,56,21/06/2020,16:21:44
31.2,32,300,59,21/06/2020,16:21:44
31.6,35,280,59,21/06/2020,16:22:40
31.4,26,300,62,21/06/2020,16:26:55
31.5,27,300,60,21/06/2020,16:29:58
29,55,290,50,21/06/2020,22:28:35
29.5,53,300,51,21/06/2020,23:01:15
29.6,46,300,53,21/06/2020,23:06:33
30,49,290,49,21/06/2020,23:12:27
29.6,55,300,49,21/06/2020,23:12:27
20.4,45,290,53,21/06/2020,23:15:45
29,52,300,51,21/06/2020,23:21:39
30,40,300,57,21/06/2020,23:24:48
29.11,50,270,59,22/06/2020,7:03:23
29.11,54,300,49,22/06/2020,7:04:27
29.27,55,300,50,22/06/2020,7:04:27
29.18,53,300,46,22/06/2020,7:15:50
29.32,54,270,45,22/06/2020,7:24:01
29.06,55,270,50,22/06/2020,7:25:40
29.44,54,300,48,22/06/2020,7:25:51
29.2,52,300,48,22/06/2020,7:28:16
29.68,53,300,45,22/06/2020,9:02:26
29.56,49,300,62,22/06/2020,9:02:37
29.62,46,290,56,22/06/2020,9:08:01
29.69,45,280,50,22/06/2020,9:08:11
29.38,45,290,59,22/06/2020,9:24:40
29.5,51,280,45,22/06/2020,9:28:01
29.48,53,290,45,22/06/2020,9:28:12
29.65,45,280,65,22/06/2020,9:28:56
32.68,38,280,59,22/06/2020,15:01:08
32.6,35,300,55,22/06/2020,15:05:34
32.19,40,300,57,22/06/2020,15:08:17
32.77,39,280,59,22/06/2020,15:09:03
32.19,39,300,60,22/06/2020,15:13:05
32.95,38,300,59,22/06/2020,15:23:28
32.67,39,300,59,22/06/2020,15:24:55
32.92,37,290,58,22/06/2020,15:25:37
29.48,43,290,53,22/06/2020,21:03:58
29.54,40,300,55,22/06/2020,21:07:29
29.56,41,300,54,22/06/2020,21:13:03
29.59,45,290,52,22/06/2020,21:15:27
29.4,41,290,51,22/06/2020,21:16:57
29.31,41,300,55,22/06/2020,21:19:40
29.51,43,300,58,22/06/2020,21:23:06
29.47,43,300,54,22/06/2020,21:28:21
29.49,46,270,56,23/06/2020,8:04:08
29.34,47,300,57,23/06/2020,8:08:17
29.62,50,300,63,23/06/2020,8:19:21
29.68,50,300,56,23/06/2020,8:19:57
29.3,50,270,50,23/06/2020,8:22:22
29.41,45,270,62,23/06/2020,8:23:48
29.51,46,300,50,23/06/2020,8:25:16
29.64,49,300,54,23/06/2020,8:29:14
32.61,37,300,55,23/06/2020,14:02:25
32,35,300,56,23/06/2020,14:10:13
32.21,36,290,57,23/06/2020,14:13:41
32.74,35,280,57,23/06/2020,14:15:57
32.77,35,290,57,23/06/2020,14:18:48
32.62,38,280,58,23/06/2020,14:24:18
32.13,37,290,56,23/06/2020,14:26:43
32.65,38,280,58,23/06/2020,14:30:00
31.65,35,280,59,23/06/2020,17:00:53
31.35,32,300,59,23/06/2020,17:06:01
31.3,32,300,58,23/06/2020,17:07:16
31.14,33,280,55,23/06/2020,17:09:32
32,30,300,62,23/06/2020,17:17:32
31.72,30,300,65,23/06/2020,17:18:24
31.74,33,300,56,23/06/2020,17:27:31
31.55,36,290,57,23/06/2020,17:29:00
29.22,48,290,63,23/06/2020,22:00:05
29.23,46,300,58,23/06/2020,22:00:08
29.41,51,300,49,23/06/2020,22:05:19
29.06,53,290,48,23/06/2020,22:15:24
29.48,46,290,52,23/06/2020,22:16:05
29.42,51,300,49,23/06/2020,22:21:30
29.1,51,300,47,23/06/2020,22:24:56
29.08,45,300,54,23/06/2020,22:28:28
29.64,45,270,50,24/06/2020,8:01:03
29.5,48,300,60,24/06/2020,8:04:29
29.34,45,300,65,24/06/2020,8:03:20
29.66,49,300,55,24/06/2020,8:05:30
29.62,52,270,46,24/06/2020,8:00:18
29.35,49,270,65,24/06/2020,8:08:03
29.5,50,300,53,24/06/2020,8:25:29
29.57,45,300,63,24/06/2020,8:10:56
30.44,45,300,50,24/06/2020,10:02:53
29.65,44,300,56,24/06/2020,10:11:05
30.04,42,290,61,24/06/2020,10:13:19
29.63,44,280,61,24/06/2020,10:06:49
30.18,45,290,51,24/06/2020,10:19:40
30.44,42,280,59,24/06/2020,10:02:10
29.85,40,290,56,24/06/2020,10:02:22
29.58,43,280,55,24/06/2020,10:22:20
32.91,39,280,57,24/06/2020,15:28:19
32.55,36,300,60,24/06/2020,15:12:43
32.32,35,300,58,24/06/2020,15:29:14
32.08,36,280,58,24/06/2020,15:04:11
32.15,39,300,56,24/06/2020,15:10:06
32.52,39,300,55,24/06/2020,15:01:09
32.83,40,300,57,24/06/2020,15:08:30
32.52,40,290,59,24/06/2020,15:16:26
29.32,45,290,57,24/06/2020,21:15:50
29.66,45,300,56,24/06/2020,21:03:58
29.62,42,300,56,24/06/2020,21:05:28
29.59,43,290,59,24/06/2020,21:13:48
29.35,45,290,61,24/06/2020,21:03:22
29.36,45,300,61,24/06/2020,21:13:24
29.41,43,300,65,24/06/2020,21:00:36
29.45,44,300,51,24/06/2020,21:16:28
28.97,59,270,47,25/06/2020,6:21:07
28.91,58,300,45,25/06/2020,6:29:09
28.75,56,300,47,25/06/2020,6:22:15
29.18,59,300,49,25/06/2020,6:17:05
28.82,60,270,45,25/06/2020,6:03:49
29.22,57,270,49,25/06/2020,6:14:08
28.84,60,300,50,25/06/2020,6:29:37
29.25,58,300,50,25/06/2020,6:22:33
32.06,43,300,64,25/06/2020,13:29:26
32.87,40,300,58,25/06/2020,13:22:36
32.9,41,290,61,25/06/2020,13:09:31
32.88,42,280,51,25/06/2020,13:25:51
32.42,39,290,57,25/06/2020,13:23:50
32.17,40,280,56,25/06/2020,13:05:34
32.61,42,290,55,25/06/2020,13:29:57
32.63,39,280,59,25/06/2020,13:02:22
32.87,38,280,55,25/06/2020,15:28:19
31.09,32,300,57,25/06/2020,17:28:34
31.53,35,300,58,25/06/2020,17:24:49
31.48,34,280,58,25/06/2020,17:18:18
31.15,31,300,56,25/06/2020,17:15:50
31.46,31,300,56,25/06/2020,17:02:34
31,31,300,59,25/06/2020,17:19:33
31.42,33,290,55,25/06/2020,17:22:51
29.33,42,290,52,25/06/2020,21:18:17
29.65,41,300,59,25/06/2020,21:05:39
29.34,45,300,51,25/06/2020,21:08:20
29.63,43,290,54,25/06/2020,21:08:22
29.45,44,290,59,25/06/2020,21:22:15
29.49,44,300,64,25/06/2020,21:08:08
29.53,45,300,57,25/06/2020,21:16:38
29.47,42,300,53,25/06/2020,21:14:11
29.37,50,270,53,26/06/2020,8:07:48
29.32,47,300,65,26/06/2020,8:08:45
29.34,47,300,59,26/06/2020,8:15:25
29.41,46,300,58,26/06/2020,8:19:36
29.57,52,270,50,26/06/2020,8:24:35
29.55,48,270,64,26/06/2020,8:25:40
29.55,46,300,57,26/06/2020,8:28:42
29.55,50,300,59,26/06/2020,8:29:38
32.72,42,300,61,26/06/2020,12:07:07
32.79,40,300,55,26/06/2020,12:08:33
32.7,40,290,58,26/06/2020,12:09:29
33,42,280,56,26/06/2020,12:14:28
32.17,43,290,56,26/06/2020,12:18:29
32.75,42,280,58,26/06/2020,12:18:52
32.18,40,290,55,26/06/2020,12:21:08
32.26,40,280,56,26/06/2020,12:26:29
31.04,34,280,60,26/06/2020,16:05:29
31.32,32,300,58,26/06/2020,16:08:22
31.61,33,300,59,26/06/2020,16:15:36
31.83,32,280,56,26/06/2020,16:18:17
31.29,30,300,62,26/06/2020,16:25:18
31.9,35,300,56,26/06/2020,16:25:19
31.21,32,300,55,26/06/2020,16:29:38
31.36,36,290,56,26/06/2020,16:29:44
29.24,55,290,47,26/06/2020,23:07:37
29.15,55,300,45,26/06/2020,23:07:42
28.81,52,300,50,26/06/2020,23:08:46
29.23,53,290,48,26/06/2020,23:11:42
29.16,53,290,47,26/06/2020,23:12:34
28.81,53,300,47,26/06/2020,23:20:32
29.2,50,300,64,26/06/2020,23:25:26
28.79,53,300,46,26/06/2020,23:25:33
28.99,60,270,49,27/06/2020,6:00:58
29.04,58,300,49,27/06/2020,6:07:14
28.9,59,300,45,27/06/2020,6:08:35
28.81,56,300,45,27/06/2020,6:10:24
28.7,57,270,47,27/06/2020,6:11:11
29.21,56,270,49,27/06/2020,6:17:45
28.9,58,300,48,27/06/2020,6:18:13
29.25,56,300,49,27/06/2020,6:26:03
30.22,42,300,64,27/06/2020,10:05:40
30.31,41,300,52,27/06/2020,10:14:07
30.27,44,290,62,27/06/2020,10:16:47
29.79,42,280,60,27/06/2020,10:20:12
29.69,42,290,59,27/06/2020,10:20:40
30.47,41,280,65,27/06/2020,10:22:54
30.36,40,290,59,27/06/2020,10:23:24
29.86,42,280,59,27/06/2020,10:23:54
31.71,30,280,63,27/06/2020,17:08:19
31.29,30,300,63,27/06/2020,17:10:37
31.85,32,300,58,27/06/2020,17:17:00
31.28,35,280,60,27/06/2020,17:17:24
31.43,34,300,60,27/06/2020,17:18:48
31.97,35,300,60,27/06/2020,17:27:17
31.92,32,300,56,27/06/2020,17:27:18
31.26,30,290,61,27/06/2020,17:29:23
30.41,35,290,56,27/06/2020,19:05:25
30.9,40,300,60,27/06/2020,19:07:05
30.49,40,300,57,27/06/2020,19:10:14
30.67,35,290,58,27/06/2020,19:16:03
30.16,35,290,60,27/06/2020,19:16:07
30.26,35,300,57,27/06/2020,19:16:44
30.15,39,300,58,27/06/2020,19:20:55
30,35,300,58,27/06/2020,19:22:53
29.36,53,270,45,28/06/2020,7:28:29
29.16,51,300,50,28/06/2020,7:10:59
29.12,50,300,54,28/06/2020,7:28:00
29.45,52,300,50,28/06/2020,7:14:59
29.44,53,270,45,28/06/2020,7:29:57
29.21,50,270,56,28/06/2020,7:05:52
29.08,52,300,48,28/06/2020,7:02:36
29.33,52,300,48,28/06/2020,7:03:37
32.13,39,300,55,28/06/2020,12:20:53
32.08,43,300,50,28/06/2020,12:09:08
32.32,39,290,58,28/06/2020,12:25:31
32.39,43,280,57,28/06/2020,12:09:40
32.56,41,290,62,28/06/2020,12:28:31
32.21,43,280,51,28/06/2020,12:19:54
32.26,40,290,55,28/06/2020,12:02:33
32.9,43,280,62,28/06/2020,12:18:39
31.91,34,280,56,28/06/2020,16:14:54
31.07,33,300,55,28/06/2020,16:22:01
32,35,300,57,28/06/2020,16:16:47
31.74,35,280,55,28/06/2020,16:24:26
31.24,35,300,58,28/06/2020,16:25:30
31.76,36,300,55,28/06/2020,16:29:08
31.06,36,300,60,28/06/2020,16:02:49
32,34,290,60,28/06/2020,16:01:36
28.76,52,290,48,28/06/2020,23:16:30
28.82,54,300,47,28/06/2020,23:04:10
28.8,54,300,49,28/06/2020,23:01:22
29.2,53,290,45,28/06/2020,23:05:47
28.72,52,290,49,28/06/2020,23:09:48
29.09,51,300,48,28/06/2020,23:09:45
29.29,54,300,50,28/06/2020,23:17:47
28.93,52,300,49,28/06/2020,23:04:23
28.71,60,270,49,29/06/2020,6:02:26
28.77,56,300,47,29/06/2020,6:05:40
29.29,59,300,48,29/06/2020,6:08:44
29.17,56,300,45,29/06/2020,6:09:43
29.01,58,270,47,29/06/2020,6:14:52
29.19,59,270,45,29/06/2020,6:24:32
29.19,57,300,48,29/06/2020,6:27:11
29.25,58,300,47,29/06/2020,6:28:48
30.41,44,300,54,29/06/2020,10:01:21
29.66,42,300,60,29/06/2020,10:03:25
30.17,42,290,52,29/06/2020,10:04:00
29.7,44,280,58,29/06/2020,10:11:16
29.89,45,290,65,29/06/2020,10:13:51
29.57,44,280,65,29/06/2020,10:21:15
29.55,40,290,59,29/06/2020,10:21:59
30.47,45,280,54,29/06/2020,10:29:48
32.19,38,280,57,29/06/2020,15:04:31
32.44,38,300,57,29/06/2020,15:06:07
32.19,35,300,60,29/06/2020,15:07:09
32.86,36,280,56,29/06/2020,15:07:17
32.17,39,300,60,29/06/2020,15:10:55
32.64,36,300,57,29/06/2020,15:14:06
32.33,39,300,60,29/06/2020,15:15:26
32.97,36,290,57,29/06/2020,15:23:37
30.06,39,290,60,29/06/2020,19:05:36
30.79,39,300,55,29/06/2020,19:14:14
30.07,36,300,55,29/06/2020,19:19:59
30.03,37,290,59,29/06/2020,19:21:45
30.06,37,290,58,29/06/2020,19:23:32
30.86,37,300,56,29/06/2020,19:24:36
30.83,40,300,56,29/06/2020,19:25:05
30.11,37,300,58,29/06/2020,19:26:00
